Ghi,Ghi90,Ghi10,Ebh,Dni,Dni10,Dni90,Dhi,air_temp,Zenith,Azimuth,cloud_opacity,period_end,Period
0,0,0,0,0,0,0,0,8,114,-27,29,2021-04-19T01:30:00Z,PT30M
0,0,0,0,0,0,0,0,8,112,-34,29,2021-04-19T02:00:00Z,PT30M
0,0,0,0,0,0,0,0,8,109,-41,29,2021-04-19T02:30:00Z,PT30M
0,0,0,0,0,0,0,0,8,106,-48,30,2021-04-19T03:00:00Z,PT30M
0,0,0,0,0,0,0,0,8,102,-55,30,2021-04-19T03:30:00Z,PT30M
0,0,0,0,0,0,0,0,8,98,-61,30,2021-04-19T04:00:00Z,PT30M
0,0,0,0,0,0,0,0,8,94,-67,32,2021-04-19T04:30:00Z,PT30M
1,2,0,0,0,0,5,1,8,90,-73,33,2021-04-19T05:00:00Z,PT30M
30,46,2,2,17,0,75,27,8,85,-79,33,2021-04-19T05:30:00Z,PT30M
75,114,5,9,58,0,341,66,8,81,-85,34,2021-04-19T06:00:00Z,PT30M
128,193,9,18,78,0,475,108,8,76,-91,34,2021-04-19T06:30:00Z,PT30M
184,279,13,29,92,0,565,154,8,71,-97,34,2021-04-19T07:00:00Z,PT30M
239,362,17,44,113,0,682,196,8,67,-103,34,2021-04-19T07:30:00Z,PT30M
296,441,22,58,125,0,710,238,9,62,-109,33,2021-04-19T08:00:00Z,PT30M
